n_anchors,room,room_x,room_y,room_z,trajectory,escenario_error,heterogeneo,n_componentes_error,repeat,n_points,n_valid,mean_error_m,rms_error_m,max_error_m,min_error_m,csv_file
3,hab_custom,5,8,3,line,unif_neg_0p05,False,1,3,60,60,0.04138815223430479,0.042266862417862254,0.061191531548402574,0.021327679472544096,simulacion_uwb_3anclas_hab_custom_line_unif_neg_0p05_rep3.csv
3,hab_custom,5,8,3,line,unif_sym_0p1,False,1,1,60,60,0.03106060961769412,0.03406019793365463,0.06209446672756837,0.01139335077694026,simulacion_uwb_3anclas_hab_custom_line_unif_sym_0p1_rep1.csv
3,hab_custom,5,8,3,line,unif_sym_0p1,False,1,2,60,60,0.029772957531818134,0.03332543937510257,0.08264165631000209,0.0071243445695691986,simulacion_uwb_3anclas_hab_custom_line_unif_sym_0p1_rep2.csv
3,hab_custom,5,8,3,line,unif_sym_0p1,False,1,3,60,60,0.029340071110868685,0.031895786427222364,0.06997672368105008,0.008302408056453419,simulacion_uwb_3anclas_hab_custom_line_unif_sym_0p1_rep3.csv
3,hab_custom,5,8,3,line,unif_pos_0p1,False,1,1,60,60,0.07561166570983208,0.07855503266833849,0.13001347132030155,0.03939563776195058,simulacion_uwb_3anclas_hab_custom_line_unif_pos_0p1_rep1.csv
3,hab_custom,5,8,3,line,unif_pos_0p1,False,1,2,60,60,0.07922420768718169,0.08270086609011193,0.13461122537371925,0.04533085409353874,simulacion_uwb_3anclas_hab_custom_line_unif_pos_0p1_rep2.csv
3,hab_custom,5,8,3,line,unif_pos_0p1,False,1,3,60,60,0.07967846534929215,0.08180302963001618,0.13016017553845727,0.04600539262524429,simulacion_uwb_3anclas_hab_custom_line_unif_pos_0p1_rep3.csv
3,hab_custom,5,8,3,line,unif_neg_0p1,False,1,1,60,60,0.08899817670309211,0.09304502524053741,0.1555869387154557,0.04831219721233839,simulacion_uwb_3anclas_hab_custom_line_unif_neg_0p1_rep1.csv
3,hab_custom,5,8,3,line,unif_neg_0p1,False,1,2,60,60,0.0893050771724011,0.09176428822941247,0.13375587361604285,0.05059845431315467,simulacion_uwb_3anclas_hab_custom_line_unif_neg_0p1_rep2.csv
3,hab_custom,5,8,3,line,unif_neg_0p1,False,1,3,60,60,0.0774733115319872,0.07909186360459597,0.11748404827338585,0.04565046878517154,simulacion_uwb_3anclas_hab_custom_line_unif_neg_0p1_rep3.csv
