n_anchors,room,room_x,room_y,room_z,n_trials,max_error_sin_ruido_m,previous_best_error_sin_ruido_m,objetivo_precision_alcanzado,no_empeora_sin_ruido_respecto_menos_anclas,rms_error_con_ruido_m,previous_best_error_con_ruido_m,no_empeora_con_ruido_respecto_menos_anclas,A1_x,A1_y,A1_z,A2_x,A2_y,A2_z,A3_x,A3_y,A3_z,A4_x,A4_y,A4_z,A5_x,A5_y,A5_z,A6_x,A6_y,A6_z
3,hab_custom,5,8,3,2455,5.329613025353853e-13,inf,True,True,0.12358273692040245,inf,True,3.302261192466846,4.2238388626456675,3.0,5.0,1.1918225934361688,1.752190028088152,0.22470701754603528,0.0,2.473507703075622,,,,,,,,,
4,hab_custom,5,8,3,366,2.886579864025407e-15,5.329613025353853e-13,True,True,0.11854384329442764,0.12358273692040245,True,4.051309026277193,8.0,1.2383364401605856,2.3733687645496904,3.657191713714502,0.0,3.2784284920198967,4.940169722598269,3.0,0.0,7.859444721793559,2.8280807584334036,,,,,,
5,hab_custom,5,8,3,963,4.965068306494546e-16,2.886579864025407e-15,True,True,0.10090316013301862,0.11854384329442764,True,0.0,2.2555790729551335,0.89096274206988,0.0,0.568164363795491,2.5399517294499305,0.0,4.839791989363895,2.6729727808321337,3.5718458192893405,3.5244315451654797,3.0,4.792483327768979,0.0,2.07683610159195,,,
6,hab_custom,5,8,3,10000,0.0,4.965068306494546e-16,True,True,0.105593520508763,0.10090316013301862,False,2.9868717879301734,0.3404530948302211,3.0,2.771629073163428,0.0,1.0473598626574636,3.473752858600736,4.53058345270806,3.0,0.0,6.494636256243575,2.704951976686891,3.2807900275402995,2.557374535746809,0.0,5.0,4.486457923861233,0.45977636388574783
