n_anchors,room,trial,origin,max_error_m,previous_best_error_m
3,hab_custom,115,aleatorio,1.031760663508396,inf
3,hab_custom,116,aleatorio,1.4834756132466214,inf
3,hab_custom,117,aleatorio,3.064440773287388,inf
3,hab_custom,118,aleatorio,3.299337417717511,inf
3,hab_custom,119,aleatorio,3.3564046607474314,inf
3,hab_custom,120,aleatorio,1.0861504619385058,inf
3,hab_custom,121,aleatorio,0.6411721410816825,inf
3,hab_custom,122,aleatorio,0.5185848350993433,inf
3,hab_custom,123,aleatorio,2.8458450611579162,inf
3,hab_custom,124,aleatorio,1.473608597781218,inf
3,hab_custom,125,aleatorio,2.3842214116681593,inf
3,hab_custom,126,aleatorio,1.0600600651012306,inf
3,hab_custom,127,aleatorio,13.087628012635234,inf
3,hab_custom,128,aleatorio,2.7286693639227746,inf
3,hab_custom,129,aleatorio,2.802851530785265,inf
3,hab_custom,130,aleatorio,0.7391337929436248,inf
3,hab_custom,131,aleatorio,1.6927376636506193,inf
3,hab_custom,132,aleatorio,7.524887973221651,inf
3,hab_custom,133,aleatorio,1.5970804949971598,inf
3,hab_custom,134,aleatorio,1.9558448067150258,inf
3,hab_custom,135,aleatorio,1.512765169706229,inf
3,hab_custom,136,aleatorio,5.047446999083046,inf
3,hab_custom,137,aleatorio,2.40413819581127,inf
3,hab_custom,138,aleatorio,4.276405306508493,inf
3,hab_custom,139,aleatorio,9.239822741736647,inf
3,hab_custom,140,aleatorio,6.270396539048758e-13,inf
3,hab_custom,141,aleatorio,1.878659920188652,inf
3,hab_custom,142,aleatorio,1.8505403982867081,inf
3,hab_custom,143,aleatorio,1.648621908867532,inf
3,hab_custom,144,aleatorio,12.898830251275461,inf
3,hab_custom,145,aleatorio,5.874942968821266,inf
3,hab_custom,146,aleatorio,0.7611331921302852,inf
3,hab_custom,147,aleatorio,1.965908874837992,inf
3,hab_custom,148,aleatorio,2.324094150750034,inf
3,hab_custom,149,aleatorio,1.5682722030806013,inf
3,hab_custom,150,aleatorio,14.944217624888127,inf
3,hab_custom,151,aleatorio,1.457343793834604,inf
3,hab_custom,152,aleatorio,2.295070261515426,inf
3,hab_custom,153,aleatorio,0.8601365207154165,inf
3,hab_custom,154,aleatorio,2.8076304327982053,inf
3,hab_custom,155,aleatorio,0.42901268781785673,inf
3,hab_custom,156,aleatorio,3.787246389376539,inf
3,hab_custom,157,aleatorio,2.747120364835003,inf
3,hab_custom,158,aleatorio,0.33370470268225644,inf
3,hab_custom,159,aleatorio,0.8536801286843134,inf
3,hab_custom,160,aleatorio,1.4656420864313628,inf
3,hab_custom,161,aleatorio,1.5538170403800933,inf
3,hab_custom,162,aleatorio,1.6805992540539434,inf
3,hab_custom,163,aleatorio,1.524023125109021,inf
3,hab_custom,164,aleatorio,0.15463276951929972,inf
3,hab_custom,165,aleatorio,0.8239738499534157,inf
3,hab_custom,166,aleatorio,0.5768428251285549,inf
3,hab_custom,167,aleatorio,1.032325918417247,inf
3,hab_custom,168,aleatorio,1.8934157055159333,inf
3,hab_custom,169,aleatorio,2.7105265044214235,inf
3,hab_custom,170,aleatorio,2.0359510444385607,inf
3,hab_custom,171,aleatorio,3.87582247358187,inf
3,hab_custom,172,aleatorio,0.5962074795364352,inf
3,hab_custom,173,aleatorio,0.5449143125544357,inf
3,hab_custom,174,aleatorio,5.260978834259579,inf
3,hab_custom,175,aleatorio,1.4687191338209784,inf
3,hab_custom,176,aleatorio,4.57882890585833,inf
3,hab_custom,177,aleatorio,2.9580509825706347,inf
3,hab_custom,178,aleatorio,5.559831926503774,inf
3,hab_custom,179,aleatorio,4.82553066983044,inf
3,hab_custom,180,aleatorio,5.083883438849567,inf
3,hab_custom,181,aleatorio,2.647593954909914,inf
3,hab_custom,182,aleatorio,2.027811336197775,inf
3,hab_custom,183,aleatorio,3.216583876712275,inf
3,hab_custom,184,aleatorio,0.05076431155241396,inf
3,hab_custom,185,aleatorio,4.057835490345838,inf
3,hab_custom,186,aleatorio,2.405478687862149,inf
3,hab_custom,187,aleatorio,0.8476591729679567,inf
3,hab_custom,188,aleatorio,5.507523212722385,inf
3,hab_custom,189,aleatorio,1.5014846821421846,inf
3,hab_custom,190,aleatorio,3.5888601490538323,inf
3,hab_custom,191,aleatorio,4.450560657059971,inf
3,hab_custom,192,aleatorio,0.8138015676081994,inf
3,hab_custom,193,aleatorio,2.2376978905912646,inf
3,hab_custom,194,aleatorio,1.4845282025511435,inf
3,hab_custom,195,aleatorio,5.42994255030891,inf
3,hab_custom,196,aleatorio,1.3935597884000894,inf
3,hab_custom,197,aleatorio,3.9557737378879194,inf
3,hab_custom,198,aleatorio,0.6992456692040003,inf
3,hab_custom,199,aleatorio,4.9639375523197335,inf
3,hab_custom,200,aleatorio,1.3176215456143596,inf
3,hab_custom,201,aleatorio,1.9779976245972177,inf
3,hab_custom,202,aleatorio,7.213556838769953,inf
3,hab_custom,203,aleatorio,2.1178926750320874,inf
3,hab_custom,204,aleatorio,0.9016328287661723,inf
3,hab_custom,205,aleatorio,4.062242938129122,inf
3,hab_custom,206,aleatorio,1.4145565804786098,inf
3,hab_custom,207,aleatorio,0.23582079392687838,inf
3,hab_custom,208,aleatorio,14.184402230025507,inf
3,hab_custom,209,aleatorio,3.447369370685677,inf
3,hab_custom,210,aleatorio,0.6081753731176481,inf
3,hab_custom,211,aleatorio,1.9794032728145934,inf
3,hab_custom,212,aleatorio,0.7617257252510398,inf
3,hab_custom,213,aleatorio,1.6032358906419528,inf
3,hab_custom,214,aleatorio,6.753916492051785,inf
3,hab_custom,215,aleatorio,0.5790836978476571,inf
3,hab_custom,216,aleatorio,1.20687527714715,inf
3,hab_custom,217,aleatorio,2.3690782710923903,inf
3,hab_custom,218,aleatorio,1.480100911752752,inf
3,hab_custom,219,aleatorio,0.6357838586694813,inf
3,hab_custom,220,aleatorio,3.376509693058505,inf
3,hab_custom,221,aleatorio,2.5796179864927926,inf
3,hab_custom,222,aleatorio,3.321316504035214,inf
3,hab_custom,223,aleatorio,4.680641352475489,inf
3,hab_custom,224,aleatorio,1.7115330932712651,inf
3,hab_custom,225,aleatorio,1.7310774100283841,inf
3,hab_custom,226,aleatorio,4.277570003800387,inf
3,hab_custom,227,aleatorio,0.1675631022074271,inf
3,hab_custom,228,aleatorio,0.9645347709482956,inf
3,hab_custom,229,aleatorio,0.48155005142677504,inf
3,hab_custom,230,aleatorio,1.4456606104177874,inf
3,hab_custom,231,aleatorio,1.4505596180553522,inf
3,hab_custom,232,aleatorio,1.40131272621783,inf
3,hab_custom,233,aleatorio,2.04633131857733,inf
3,hab_custom,234,aleatorio,2.3557011919051165,inf
3,hab_custom,235,aleatorio,3.6734933176173254,inf
3,hab_custom,236,aleatorio,1.8312099850499903,inf
3,hab_custom,237,aleatorio,2.6265245715772125,inf
3,hab_custom,238,aleatorio,6.630567681671814,inf
3,hab_custom,239,aleatorio,0.8977032723101063,inf
3,hab_custom,240,aleatorio,1.3972051234543077,inf
3,hab_custom,241,aleatorio,3.366121490425713,inf
3,hab_custom,242,aleatorio,1.6913178330668621,inf
3,hab_custom,243,aleatorio,0.7858547795942527,inf
3,hab_custom,244,aleatorio,0.7502460769925002,inf
3,hab_custom,245,aleatorio,1.2943586980771404,inf
3,hab_custom,246,aleatorio,2.300079066721809,inf
3,hab_custom,247,aleatorio,0.7092200824035159,inf
3,hab_custom,248,aleatorio,1.0158626749105424,inf
3,hab_custom,249,aleatorio,2.01509126302421,inf
3,hab_custom,250,aleatorio,1.7574892206400885,inf
3,hab_custom,251,aleatorio,0.34067956154959533,inf
3,hab_custom,252,aleatorio,4.327946880697058,inf
3,hab_custom,253,aleatorio,5.912668208365919,inf
3,hab_custom,254,aleatorio,1.1957154903167229,inf
3,hab_custom,255,aleatorio,0.20013607799204655,inf
3,hab_custom,256,aleatorio,0.013168226202184705,inf
3,hab_custom,257,aleatorio,0.20762968293351602,inf
3,hab_custom,258,aleatorio,0.7724052298418982,inf
3,hab_custom,259,aleatorio,4.446170076128722,inf
3,hab_custom,260,aleatorio,3.791458836362771,inf
3,hab_custom,261,aleatorio,9.516698295666847,inf
3,hab_custom,262,aleatorio,2.348363024689651,inf
3,hab_custom,263,aleatorio,0.7179913553147058,inf
3,hab_custom,264,aleatorio,4.103281798104402,inf
3,hab_custom,265,aleatorio,0.9435025642172119,inf
3,hab_custom,266,aleatorio,0.7497721323272749,inf
3,hab_custom,267,aleatorio,0.6940815557473635,inf
3,hab_custom,268,aleatorio,2.6919789136875125,inf
3,hab_custom,269,aleatorio,2.451952944121026,inf
3,hab_custom,270,aleatorio,1.22225803224481,inf
3,hab_custom,271,aleatorio,1.6555826190231608,inf
3,hab_custom,272,aleatorio,7.2499441256428465,inf
3,hab_custom,273,aleatorio,1.8289129154955277,inf
3,hab_custom,274,aleatorio,1.115194138353102,inf
3,hab_custom,275,aleatorio,5.4079959206830654,inf
3,hab_custom,276,aleatorio,4.405871013209847,inf
3,hab_custom,277,aleatorio,1.8789607855064432,inf
3,hab_custom,278,aleatorio,0.46394154869319537,inf
3,hab_custom,279,aleatorio,0.40788041558671967,inf
3,hab_custom,280,aleatorio,0.005428815196441148,inf
3,hab_custom,281,aleatorio,2.9910582670627064,inf
3,hab_custom,282,aleatorio,0.03524662609383187,inf
3,hab_custom,283,aleatorio,2.946076579704487,inf
3,hab_custom,284,aleatorio,1.6066740076008708,inf
3,hab_custom,285,aleatorio,3.2791775668619567,inf
3,hab_custom,286,aleatorio,0.5280755628232532,inf
3,hab_custom,287,aleatorio,4.991096110737558,inf
3,hab_custom,288,aleatorio,3.8094071582344946,inf
3,hab_custom,289,aleatorio,2.3669301337742077,inf
3,hab_custom,290,aleatorio,2.7567041320485215,inf
3,hab_custom,291,aleatorio,0.741351714779665,inf
3,hab_custom,292,aleatorio,0.05893571762613899,inf
3,hab_custom,293,aleatorio,6.033892643033625,inf
3,hab_custom,294,aleatorio,0.348588466547081,inf
3,hab_custom,295,aleatorio,13.827750284220619,inf
3,hab_custom,296,aleatorio,3.1905471711912856,inf
3,hab_custom,297,aleatorio,4.890843731419572,inf
3,hab_custom,298,aleatorio,0.6442304719259662,inf
3,hab_custom,299,aleatorio,0.2256156016341323,inf
3,hab_custom,300,aleatorio,1.309907086790037,inf
3,hab_custom,301,aleatorio,3.4474368964818907,inf
3,hab_custom,302,aleatorio,4.650371821564832,inf
3,hab_custom,303,aleatorio,3.7560018273712026,inf
3,hab_custom,304,aleatorio,1.4567879228466096,inf
3,hab_custom,305,aleatorio,1.7118818381700964,inf
3,hab_custom,306,aleatorio,2.010052010543077,inf
3,hab_custom,307,aleatorio,2.247476698734151,inf
3,hab_custom,308,aleatorio,0.9731538918322441,inf
3,hab_custom,309,aleatorio,0.6765377564818577,inf
3,hab_custom,310,aleatorio,0.549236333166658,inf
3,hab_custom,311,aleatorio,5.694347582452176,inf
3,hab_custom,312,aleatorio,1.4582393102985205,inf
3,hab_custom,313,aleatorio,0.8267640448188406,inf
3,hab_custom,314,aleatorio,1.1387946601473402,inf
3,hab_custom,315,aleatorio,1.4875137373529657,inf
3,hab_custom,316,aleatorio,0.009068759199397775,inf
3,hab_custom,317,aleatorio,1.4505355150669632,inf
3,hab_custom,318,aleatorio,1.791067490972591,inf
3,hab_custom,319,aleatorio,1.825065130230267,inf
3,hab_custom,320,aleatorio,1.2574394330380656,inf
3,hab_custom,321,aleatorio,3.774290804841445,inf
3,hab_custom,322,aleatorio,1.8999665689307463,inf
3,hab_custom,323,aleatorio,1.6113734639403445,inf
3,hab_custom,324,aleatorio,4.365379828109971,inf
3,hab_custom,325,aleatorio,0.7992254141098517,inf
3,hab_custom,326,aleatorio,0.7308593413192581,inf
3,hab_custom,327,aleatorio,0.8860149156569225,inf
3,hab_custom,328,aleatorio,2.7953787105052155,inf
3,hab_custom,329,aleatorio,3.2094438034139396,inf
3,hab_custom,330,aleatorio,1.4999793380218336,inf
3,hab_custom,331,aleatorio,1.4263218910311481,inf
3,hab_custom,332,aleatorio,0.49052996356477163,inf
3,hab_custom,333,aleatorio,7.1350206653599715,inf
3,hab_custom,334,aleatorio,2.253625162498067,inf
3,hab_custom,335,aleatorio,1.7776567653696496,inf
3,hab_custom,336,aleatorio,2.3546466086131135,inf
3,hab_custom,337,aleatorio,2.2722143270536437,inf
3,hab_custom,338,aleatorio,2.507095141452772,inf
3,hab_custom,339,aleatorio,0.4847137840543728,inf
3,hab_custom,340,aleatorio,1.8839912661017684,inf
3,hab_custom,341,aleatorio,2.0836703117917827,inf
3,hab_custom,342,aleatorio,1.0668506929104498,inf
3,hab_custom,343,aleatorio,4.28315587096985,inf
3,hab_custom,344,aleatorio,2.055250767790775,inf
3,hab_custom,345,aleatorio,1.672782369329133,inf
3,hab_custom,346,aleatorio,2.5758973202443585,inf
3,hab_custom,347,aleatorio,3.772301494024144,inf
3,hab_custom,348,aleatorio,1.0379296845247283,inf
3,hab_custom,349,aleatorio,2.127752302973771,inf
3,hab_custom,350,aleatorio,0.8740476580687081,inf
3,hab_custom,351,aleatorio,2.2458251994723586,inf
3,hab_custom,352,aleatorio,4.577864615171305,inf
3,hab_custom,353,aleatorio,0.8011465564330581,inf
3,hab_custom,354,aleatorio,0.3001783165602265,inf
3,hab_custom,355,aleatorio,0.3144220972149827,inf
3,hab_custom,356,aleatorio,3.6386953450530455,inf
