n_anchors,escenario_error,error_label,kind,magnitude,magnitude2,mean_error_m,mean_error_std,rms_error_m,max_error_m
4,heter_A1-biasN_A2-gaussN_A3-gaussN_A4-none_tag-gaussN,unknown,unknown,,,1.066414e-01,1.622018e-02,1.145229e-01,2.222490e-01
4,heter_A1-biasN_A2-gaussP_A3-unifS_A4-biasP_tag-none,unknown,unknown,,,1.173210e-01,1.990270e-02,1.236154e-01,1.893378e-01
4,heter_A1-biasN_A2-none_A3-biasN_A4-gaussN_tag-unifN,unknown,unknown,,,1.192233e-01,9.750457e-03,1.222561e-01,1.866206e-01
4,heter_A1-biasN_A2-unifP_A3-unifS_A4-gaussP_tag-unifP,unknown,unknown,,,1.066463e-01,1.430733e-02,1.172606e-01,2.215286e-01
4,heter_A1-biasP_A2-biasN_A3-gauss0_A4-biasN_tag-unifP,unknown,unknown,,,1.178984e-01,1.870384e-02,1.250064e-01,2.227849e-01
4,heter_A1-biasP_A2-biasN_A3-unifP_A4-gaussP_tag-none,unknown,unknown,,,9.209131e-02,1.685220e-02,9.760621e-02,1.639650e-01
4,heter_A1-biasP_A2-biasP_A3-none_A4-unifN_tag-unifN,unknown,unknown,,,9.241220e-02,1.152849e-02,9.797571e-02,1.706764e-01
4,heter_A1-biasP_A2-gauss0_A3-gauss0_A4-gaussN_tag-gauss0,unknown,unknown,,,8.560068e-02,1.015198e-02,9.415336e-02,1.942135e-01
4,heter_A1-biasP_A2-gaussN_A3-biasP_A4-unifS_tag-unifP,unknown,unknown,,,1.252538e-01,1.824144e-02,1.289500e-01,2.008289e-01
4,heter_A1-biasP_A2-gaussN_A3-none_A4-biasN_tag-gauss0,unknown,unknown,,,9.086169e-02,1.365255e-02,1.015880e-01,2.335172e-01
4,heter_A1-biasP_A2-none_A3-none_A4-gaussP_tag-gaussP,unknown,unknown,,,9.202441e-02,1.335988e-02,9.729344e-02,1.909601e-01
4,heter_A1-biasP_A2-unifN_A3-biasP_A4-gaussN_tag-gaussN,unknown,unknown,,,1.107820e-01,2.271165e-02,1.230077e-01,2.427299e-01
4,heter_A1-biasP_A2-unifN_A3-gaussP_A4-gaussN_tag-biasP,unknown,unknown,,,1.232577e-01,2.076758e-02,1.271246e-01,2.020234e-01
4,heter_A1-gauss0_A2-biasN_A3-gaussN_A4-none_tag-gaussN,unknown,unknown,,,9.485936e-02,1.608188e-02,1.022491e-01,2.064797e-01
4,heter_A1-gauss0_A2-biasN_A3-none_A4-biasN_tag-unifP,unknown,unknown,,,7.341844e-02,1.089962e-02,8.111983e-02,1.677270e-01
4,heter_A1-gauss0_A2-gaussP_A3-gauss0_A4-unifP_tag-gaussP,unknown,unknown,,,1.083800e-01,2.601190e-02,1.172408e-01,2.166521e-01
4,heter_A1-gauss0_A2-gaussP_A3-unifN_A4-unifS_tag-gaussN,unknown,unknown,,,8.716224e-02,1.837304e-02,9.554831e-02,2.210016e-01
4,heter_A1-gauss0_A2-unifN_A3-unifS_A4-unifS_tag-gauss0,unknown,unknown,,,6.780721e-02,1.269544e-02,7.689536e-02,1.870210e-01
4,heter_A1-gauss0_A2-unifP_A3-gaussN_A4-gauss0_tag-none,unknown,unknown,,,7.105381e-02,9.788140e-03,7.597532e-02,1.541929e-01
4,heter_A1-gaussN_A2-biasN_A3-gaussP_A4-gaussP_tag-biasP,unknown,unknown,,,9.166591e-02,1.186447e-02,9.777155e-02,1.880836e-01
4,heter_A1-gaussN_A2-gauss0_A3-none_A4-biasP_tag-none,unknown,unknown,,,7.642755e-02,5.911867e-03,7.952090e-02,1.385689e-01
4,heter_A1-gaussN_A2-gaussN_A3-none_A4-unifP_tag-biasP,unknown,unknown,,,1.043144e-01,1.210322e-02,1.071464e-01,1.661720e-01
4,heter_A1-gaussN_A2-none_A3-gauss0_A4-gaussN_tag-gauss0,unknown,unknown,,,6.241861e-02,1.368253e-02,7.148550e-02,1.620780e-01
4,heter_A1-gaussN_A2-none_A3-gaussP_A4-none_tag-gaussP,unknown,unknown,,,6.969041e-02,1.326464e-02,8.088936e-02,2.062763e-01
4,heter_A1-gaussN_A2-none_A3-unifN_A4-unifN_tag-biasP,unknown,unknown,,,6.706339e-02,7.505413e-03,7.002670e-02,1.308723e-01
4,heter_A1-gaussN_A2-unifS_A3-unifP_A4-biasP_tag-unifP,unknown,unknown,,,1.210585e-01,5.909961e-03,1.245588e-01,2.103437e-01
4,heter_A1-gaussN_A2-unifS_A3-unifS_A4-unifP_tag-gauss0,unknown,unknown,,,7.856063e-02,1.618572e-02,8.791645e-02,1.945148e-01
4,heter_A1-gaussP_A2-biasP_A3-gaussP_A4-gaussP_tag-biasP,unknown,unknown,,,1.569464e-01,1.989918e-02,1.614332e-01,2.590446e-01
4,heter_A1-gaussP_A2-biasP_A3-gaussP_A4-unifS_tag-gaussN,unknown,unknown,,,5.880702e-02,5.181215e-03,6.534089e-02,1.536152e-01
4,heter_A1-gaussP_A2-gaussN_A3-gaussN_A4-unifN_tag-gauss0,unknown,unknown,,,8.135870e-02,1.053279e-02,9.176218e-02,2.135971e-01
4,heter_A1-gaussP_A2-gaussN_A3-gaussP_A4-gauss0_tag-none,unknown,unknown,,,6.765035e-02,1.582685e-02,7.787126e-02,1.751067e-01
4,heter_A1-gaussP_A2-unifN_A3-unifN_A4-unifP_tag-biasP,unknown,unknown,,,1.145408e-01,1.175640e-02,1.182354e-01,2.012705e-01
4,heter_A1-gaussP_A2-unifP_A3-biasP_A4-biasN_tag-biasP,unknown,unknown,,,1.875816e-01,7.676365e-02,2.054271e-01,3.531006e-01
4,heter_A1-gaussP_A2-unifP_A3-gauss0_A4-none_tag-unifP,unknown,unknown,,,1.351966e-01,2.351084e-02,1.437952e-01,2.438005e-01
4,heter_A1-none_A2-biasP_A3-biasP_A4-gauss0_tag-biasN,unknown,unknown,,,9.601556e-02,3.117814e-02,1.069431e-01,2.073083e-01
4,heter_A1-none_A2-unifP_A3-biasN_A4-none_tag-unifP,unknown,unknown,,,1.085927e-01,7.899814e-03,1.129040e-01,1.846055e-01
4,heter_A1-none_A2-unifP_A3-gaussP_A4-unifP_tag-gauss0,unknown,unknown,,,8.236200e-02,1.464083e-02,9.269429e-02,1.967440e-01
4,heter_A1-unifN_A2-biasN_A3-gauss0_A4-unifN_tag-gaussN,unknown,unknown,,,1.288890e-01,2.668967e-02,1.390261e-01,2.692903e-01
4,heter_A1-unifN_A2-biasP_A3-gauss0_A4-biasN_tag-gaussP,unknown,unknown,,,8.732839e-02,1.155763e-02,9.386617e-02,2.028494e-01
4,heter_A1-unifN_A2-biasP_A3-unifP_A4-gauss0_tag-gaussP,unknown,unknown,,,1.061545e-01,1.134168e-02,1.136864e-01,2.183424e-01
4,heter_A1-unifN_A2-gaussN_A3-gaussN_A4-gaussP_tag-biasP,unknown,unknown,,,9.060431e-02,2.298871e-02,9.771433e-02,1.818462e-01
4,heter_A1-unifN_A2-gaussN_A3-gaussP_A4-unifN_tag-biasP,unknown,unknown,,,6.641795e-02,9.331608e-03,7.488251e-02,1.728588e-01
4,heter_A1-unifN_A2-gaussN_A3-unifP_A4-unifS_tag-biasN,unknown,unknown,,,1.215817e-01,1.398536e-02,1.254122e-01,1.970558e-01
4,heter_A1-unifN_A2-gaussP_A3-unifN_A4-unifP_tag-biasP,unknown,unknown,,,1.218628e-01,1.540918e-02,1.266531e-01,2.090072e-01
4,heter_A1-unifN_A2-none_A3-biasN_A4-biasP_tag-unifN,unknown,unknown,,,1.207281e-01,7.793572e-03,1.279501e-01,2.095036e-01
